city_country,display_name,address,latitude,longitude,company
Jura bernois,Supermarché Migros - Delémont,"Rue de la Maltière 12, 2800 Delémont, Switzerland",47.363438099999996,7.346340499999999,Migros
Jura bernois,Supermarché Migros - La Neuveville,"Chem. des Vergers 20, 2520 La Neuveville, Switzerland",47.0617573,7.0883731999999995,Migros
Jura bernois,Supermarché Migros - St-Imier,"Rue Baptiste-Savoye 62, 2610 Saint-Imier, Switzerland",47.151526,6.995280999999999,Migros
Jura bernois,Supermarché Migros - Le Landeron,"Rte de Neuchâtel 40, 2525 Le Landeron, Switzerland",47.056342199999996,7.0608542,Migros
Jura bernois,Supermarché Migros - Marin Centre,"Rue de la Fleur-de-Lys 26, 2074 Marin-Epagnier, Switzerland",47.012066399999995,7.0085467999999995,Migros
Jura bernois,Supermarché Migros - Porrentruy,"Fbg Saint-Germain 2, 2900 Porrentruy, Switzerland",47.416548,7.0780708,Migros
Jura bernois,MIGROS,"Rue Comble Emine 5, 2053 Cernier, Switzerland",47.0579787,6.9018926,Migros
Jura bernois,Migros-Supermarkt - Langendorf - Ladedorf,"Fabrikstrasse 6, 4513 Langendorf, Switzerland",47.2184571,7.5114806,Migros
Jura bernois,Migros-Supermarkt - Grenchen,"Freiestrasse 10, 2540 Grenchen, Switzerland",47.189823,7.3988133000000005,Migros
Frutigen-Niedersimmental,Migros-Supermarkt - Frutigen,"Kanderstegstrasse 31, 3714 Frutigen, Switzerland",46.585577799999996,7.648425700000001,Migros
Interlaken-Oberhasli,Migros-Supermarkt - Matten,"Aegertiweg 33, 3812 Wilderswil, Switzerland",46.6732321,7.868567199999999,Migros
Interlaken-Oberhasli,Migros Restaurant - Interlaken,"Rugenparkstrasse 1, 3800 Interlaken, Switzerland",46.6814842,7.8518647999999995,Migros
Interlaken-Oberhasli,Migros-Supermarkt - Meiringen,"Bahnhofstrasse 1, 3860 Meiringen, Switzerland",46.7281823,8.184876899999999,Migros
Interlaken-Oberhasli,Migros-Supermarkt - Brienz,"Hauptstrasse 51, 3855 Brienz, Switzerland",46.7553273,8.0279113,Migros
Thun,Migros-Supermarkt - Thun - Oberland,"Talackerstrasse 62, 3604 Thun, Switzerland",46.744287,7.614257899999999,Migros
Thun,Migros-Supermarkt - Thun - Bälliz,"Bälliz 2, 3600 Thun, Switzerland",46.760106099999994,7.6267104,Migros
Thun,Migros-Supermarkt - Thun - Panorama Center,"Thun Panorama Center, Weststrasse 14, 3604 Thun, Switzerland",46.7438526,7.6049088,Migros
Thun,Zentrum Oberland,"Talackerstrasse 62, 3604 Thun, Switzerland",46.7448882,7.6138375,Migros
Thun,Migros-Supermarkt - Thun - Dürrenast,"Frutigenstrasse 60, 3604 Thun, Switzerland",46.7450878,7.6265611999999985,Migros
Thun,VOI Migros Supermarkt,"Panoramastrasse 1A, 3600 Thun, Switzerland",46.7549263,7.630832999999999,Migros
Obersimmental-Saanen,Migros-Supermarkt - Gstaad,"Untergstaadstrasse 3, 3780 Saanen, Switzerland",46.4782127,7.282444399999999,Migros
Obersimmental-Saanen,Migros-Supermarkt - Zweisimmen,"Thunstrasse 11, 3770 Zweisimmen, Switzerland",46.5556096,7.3729208999999996,Migros
Entlebuch,Migros-Supermarkt - Schüpfheim,"Vormüli 1, 6170 Schüpfheim, Switzerland",46.948885499999996,8.0152479,Migros
Entlebuch,Migros-Supermarkt - Wolhusen - Dorfmärt,"Entlebucherstrasse 36, 6110 Wolhusen, Switzerland",47.0562324,8.070261,Migros
Entlebuch,Migros-Supermarkt - Malters,"Weihermatte 7a/7b, 6102 Malters, Switzerland",47.0373909,8.180225499999999,Migros
Entlebuch,Migros-Supermarkt - Hasle Rüegsau,"Emmenau 3, 3415 Hasle bei Burgdorf, Switzerland",47.013465,7.659514,Migros
Entlebuch,Migros-Supermarkt - Bertiswil Rothenburg,"Rosengartenstrasse 2, 6023 Rothenburg, Switzerland",47.1012026,8.263241899999999,Migros
Entlebuch,Migros-Supermarkt - Ruswil,"Rüediswilerstrasse 79, 6017 Ruswil, Switzerland",47.088409999999996,8.11279,Migros
Entlebuch,Migros-Supermarkt - Luzern - Schönbühl,"Langensandstrasse 23, 6005 Luzern, Switzerland",47.037292799999996,8.327643199999999,Migros
Entlebuch,Einkaufscenter Dorfmärt,"Entlebucherstrasse 36, 6110 Wolhusen, Switzerland",47.056309899999995,8.070766299999999,Migros
Entlebuch,Migros-Supermarkt - Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern, Switzerland",47.054745,8.3096768,Migros
Entlebuch,Migros-Supermarkt - Luzern - Brüelstrasse,"Kreuzbuchstrasse 53, 6006 Luzern, Switzerland",47.054431900000004,8.339967699999999,Migros
Entlebuch,Migros-Supermarkt - Sarnen - Sarnen-Center,"Nelkenstrasse 5, 6060 Sarnen, Switzerland",46.8967021,8.2489189,Migros
Entlebuch,Migros-Supermarkt - Egolzwil - Schötz,"Schürmatt 1, 6243 Egolzwil, Switzerland",47.1835622,7.981469499999999,Migros
Entlebuch,Migros-Supermarkt - Luzern - Würzenbachstrasse,"Würzenbachstrasse 19, 6006 Luzern, Switzerland",47.0550833,8.3437092,Migros
Entlebuch,Migros-Supermarkt - Ruopigen Zentrum Luzern,"Ruopigenpl., 6015 Luzern, Switzerland",47.061425899999996,8.2747288,Migros
Entlebuch,Migros-Supermarkt - Burgdorf - Neumarkt,"MM Neumarkt, Lyssachstrasse 27, 3400 Burgdorf, Switzerland",47.0590812,7.6210778,Migros
Entlebuch,Migros-Supermarkt - Luzern - Bruchstrasse,"Bruchstrasse 18, 6003 Luzern, Switzerland",47.0506641,8.2993763,Migros
Entlebuch,Migros-Supermarkt - Willisau - Chrüzhof,"Ettiswilerstrasse 14, 6130 Willisau, Switzerland",47.123742799999995,7.9949081,Migros
Entlebuch,Migros-Partner - Neuenkirch,"Luzernstrasse 16, 6206 Neuenkirch, Switzerland",47.0982197,8.205216499999999,Migros
Hochdorf,Migros-Supermarkt - Hochdorf - Seetal-Center,"Hauptstrasse 5, 6280 Hochdorf, Switzerland",47.1660129,8.2917126,Migros
Luzern-Land,Migros-Supermarkt - Luzern - Waldstätter,"Winkelriedstrasse 58, 6003 Luzern, Switzerland",47.046149199999995,8.3072655,Migros
Luzern-Land,Migros-Supermarkt - Luzern - Bahnhof,"Zentralstrasse 1, 6003 Luzern, Switzerland",47.050174399999996,8.3102638,Migros
